campaign_name,adset_name,ad_name,date_start,channel,impressions,clicks,spend,ctr,cpm,cpc,fb_action_onsite_web_purchase,fb_value_onsite_web_purchase,fb_roas,shopify_orders,shopify_revenue,shopify_cogs,shopify_profit,shopify_roas,shopify_conversion_rate,shopify_avg_order_value,revenue_difference,orders_difference,roas_difference,unique_skus,unique_sku_count,total_sku_quantity,utm_source,utm_medium,utm_campaign,utm_content,utm_term
TH-075-NAPDEN,ICP Pet Parent,TH-075-NAPDEN_SI223_VP031,2025-07-01,,555,15,354.40999999999997,2.7027027027027026,638.5765765765765,23.627333333333333,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-075-NAPDEN,Urban Pet Parents,TH-075-NAPDEN_SI223_VP031,2025-07-01,,683,19,356.96,2.781844802342606,522.6354319180087,18.78736842105263,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-053-JACKET – Alt Twin,Backpacking,TH-053-JACKET_ET156_IM259,2025-07-01,,784,9,245.84,1.1479591836734695,313.57142857142856,27.315555555555555,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-053-JACKET – Alt Twin,Tier 2 & 3 Pet Parents,TH-053-JACKET_ET156_IM259,2025-07-01,,6061,89,1093.8,1.4684045537040094,180.46526975746576,12.289887640449438,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-012-SNUGBOO- Alternate Twin,Remarketing,TH-012-SNUGBOO,2025-07-01,,898,19,182.96,2.1158129175946545,203.74164810690422,9.629473684210527,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-012-SNUGBOO- Alternate Twin,Tier 2 Pet Parents,TH-012-SNUGBOO,2025-07-01,,520,12,106.07,2.307692307692308,203.98076923076923,8.839166666666666,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-068-WILD - Alternate Twin,Remarketing,TH-068-WILD_VP001_ET101,2025-07-01,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-072-AEROPOD,ICP Pet Parent,TH-072-AEROPOD_ET113_IM253,2025-07-01,,939,5,119.66000000000001,0.5324813631522897,127.43343982960597,23.932000000000002,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-072-AEROPOD,Frequent Travellers,TH-072-AEROPOD_ET113_IM253,2025-07-01,,1803,16,220.16,0.8874098724348309,122.10759844703273,13.76,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-072-AEROPOD,Urban Pet Parents,TH-072-AEROPOD_ET113_IM253,2025-07-01,,1574,6,311.18,0.3811944091486658,197.70012706480304,51.86333333333334,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-073-SMARTSIP – Life Time,Remarketing,TH-073-SMARTSIP_ET104_TM066,2025-07-01,,900,8,132.05,0.8888888888888888,146.72222222222223,16.50625,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-073-SMARTSIP – Life Time,Urban Pet Parents,TH-073-SMARTSIP_ET104_TM066,2025-07-01,,624,12,94.69,1.9230769230769231,151.7467948717949,7.890833333333333,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-073-SMARTSIP – Life Time,Cat Lover,TH-073-SMARTSIP_ET104_TM066,2025-07-01,,1337,24,162.56,1.795063575168287,121.58563949139865,6.773333333333333,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-073-SMARTSIP – Life Time,ICP Pet Parent,TH-073-SMARTSIP_ET104_TM066,2025-07-01,,893,27,160.48,3.0235162374020157,179.70884658454648,5.9437037037037035,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
R15D2-TH-D2 RPP - Video - India - IG & FB - Sales - 22/04/2025,Top Cities -Broad,TH-012-SNUGBOO_NT101_NT203 – Copy,2025-07-01,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-053-JACKET – Life Time,Urban Pet Parents,TH-053-JACKET_ET156_IM259,2025-07-01,,1846,24,567.73,1.3001083423618636,307.546045503792,23.655416666666667,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
R15D2-TH-D2 RPP - Video - India - IG & FB - Sales - 22/04/2025,Top Cities -Broad,TH-012-SNUGBOO_Static,2025-07-01,,12640,207,5082.8,1.6376582278481013,402.12025316455697,24.554589371980676,2.0,2898.0,0.5701581805304163,0,0.0,0.0,0.0,0.0,0.0,0.0,-2898.0,-2.0,-0.5701581805304163,,0,0,,,,,
TH-053-JACKET – Alt Twin,Backpacking,TH-053-JACKET_ET156_IM259,2025-07-01,,784,9,245.84,1.1479591836734695,313.57142857142856,27.315555555555555,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-068-WILD – DUP,ICP Pet Parent,TH-068-WILD_VP001_ET101,2025-07-01,,494,8,162.0,1.6194331983805668,327.93522267206475,20.25,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-071-SUMMERMAT,Urban Pet Parents,TH-071-SUMMERMAT_VP001_ET101,2025-07-01,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-053-JACKET,Backpacking,TH-053-JACKET_ET156_IM259,2025-07-01,,13530,167,2275.74,1.2342941611234293,168.19955654101994,13.627185628742513,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-068-WILD – HARDSCALE,Remarketing-Custom Audience,TH-068-WILD_VP001_ET101,2025-07-01,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-038-PAWTR,ICP Pet Parent,TH-038-PAWTR_ET108_ET129,2025-07-01,,50,5,14.36,10.0,287.2,2.872,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-038-PAWTR,Grooming Conscious Females,TH-038-PAWTR_ET108_ET129,2025-07-01,,1195,23,562.36,1.9246861924686192,470.59414225941424,24.450434782608696,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-056-UMB,Tier 2 & 3 Pet Parents,TH-056-UMB_ET139_VP007,2025-07-01,,4830,124,1538.1,2.567287784679089,318.44720496894405,12.404032258064515,1.0,1999.0,1.2996554190234706,0,0.0,0.0,0.0,0.0,0.0,0.0,-1999.0,-1.0,-1.2996554190234706,,0,0,,,,,
TH-056-UMB,Urban Pet Parents,TH-056-UMB_ET139_VP007,2025-07-01,,417,10,251.13,2.3980815347721824,602.2302158273382,25.113,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-071-SUMMERMAT,Tier 2 & 3 Pet Parents,TH-071-SUMMERMAT_VP001_ET101,2025-07-01,,673,16,444.98,2.37741456166419,661.1887072808321,27.81125,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-071-SUMMERMAT,ICP Pet Parent,TH-071-SUMMERMAT_VP001_ET101,2025-07-01,,621,24,408.32,3.864734299516908,657.5201288244766,17.013333333333332,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-068-WILD,Remarketing-Custom Audience,TH-068-WILD_VP001_ET101,2025-07-01,,7862,118,2665.14,1.500890358687357,338.9900788603409,22.58593220338983,2.0,3998.0,1.500108812295039,0,0.0,0.0,0.0,0.0,0.0,0.0,-3998.0,-2.0,-1.500108812295039,,0,0,,,,,
TH-068-WILD – DUP,Urban Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,,827,19,233.84,2.2974607013301087,282.75695284159616,12.307368421052631,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-068-WILD,ICP Pet Parent,TH-068-WILD_VP001_ET101,2025-07-01,,2193,37,550.69,1.68718650250798,251.1126310989512,14.883513513513515,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-068-WILD,Urban Pet Parents,TH-068-WILD_VP001_ET101,2025-07-01,,1795,32,376.16,1.7827298050139277,209.5598885793872,11.755,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-002-SKMISH,Wellness Buyers,TH-002-SKMISH_VP012_TM060,2025-07-01,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-002-SKMISH,Social Engagers,TH-002-SKMISH_VP012_TM060,2025-07-01,,537,3,266.25,0.5586592178770949,495.8100558659218,88.75,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-002-SKMISH,Professionals Pet Parents,TH-002-SKMISH_VP012_TM060,2025-07-01,,458,2,215.23000000000002,0.43668122270742354,469.93449781659393,107.61500000000001,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH - E2 RPP - Video - India - IG & FB - Sales - 04/05/2025,"S8L0 - E2 - Ad Set 2 (Dog Groomer, Animal welfare (social cause), Dog daycare)",TH-036FMB-ET101-SI210-ET137-ET139 – Copy,2025-07-01,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
R15D2-TH-D2 RPP - Video - India - IG & FB - Sales - 22/04/2025,Top Cities -Broad,TH-068-WILD_Static,2025-07-01,,1799,29,1035.3799999999999,1.6120066703724294,575.5308504724846,35.70275862068965,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
R15D2-TH-D2 RPP - Video - India - IG & FB - Sales - 22/04/2025,Top Cities -Broad,TH-012-SNUGBOO_Static,2025-07-01,,12640,207,5082.8,1.6376582278481013,402.12025316455697,24.554589371980676,2.0,2898.0,0.5701581805304163,0,0.0,0.0,0.0,0.0,0.0,0.0,-2898.0,-2.0,-0.5701581805304163,,0,0,,,,,
TH-068-WILD ADV+,1MHO - Adv+ (Exc. Purchases (30D)),TH-068-WILD_VP001_ET101,2025-07-01,,1095,23,1157.1799999999998,2.1004566210045663,1056.7853881278538,50.31217391304347,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-068-WILD - Alternate Twin,Remarketing,TH-068-WILD_VP001_ET101,2025-07-01,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-053-JACKET – Life Time,Urban Pet Parents,TH-053-JACKET_ET156_IM259,2025-07-01,,1846,24,567.73,1.3001083423618636,307.546045503792,23.655416666666667,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-053-JACKET – Life Time,Backpacking,TH-053-JACKET_ET156_IM259,2025-07-01,,1337,22,760.43,1.6454749439042633,568.7584143605086,34.565,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-068-WILD – DUP,Adventure Trekkers,TH-068-WILD_VP001_ET101,2025-07-01,,921,6,237.53,0.6514657980456027,257.9044516829533,39.58833333333333,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-068-WILD – DUP,Remarketing-Custom Audience,TH-068-WILD_VP001_ET101,2025-07-01,,694,12,238.07999999999998,1.729106628242075,343.05475504322766,19.84,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-002-SKMISH,TH-002-SKMISH-ST-CRO,TH-002-SKMISH,2025-07-01,,17416,334,89.85,1.917776757005053,5.159049150206706,0.26901197604790417,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-075-NAPDEN,ICP Pet Parent,TH-075-NAPDEN_SI223_VP031,2025-07-01,,555,15,354.40999999999997,2.7027027027027026,638.5765765765765,23.627333333333333,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-075-NAPDEN,Urban Pet Parents,TH-075-NAPDEN_SI223_VP031,2025-07-01,,683,19,356.96,2.781844802342606,522.6354319180087,18.78736842105263,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
R15D2-TH-D2 RPP - Video - India - IG & FB - Sales - 22/04/2025,Top Cities -Broad,TH-012-SNUGBOO_NT101_NT203 – Copy,2025-07-01,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-053-JACKET – Alt Twin,Tier 2 & 3 Pet Parents,TH-053-JACKET_ET156_IM259,2025-07-01,,6061,89,1093.8,1.4684045537040094,180.46526975746576,12.289887640449438,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-012-SNUGBOO- Alternate Twin,Remarketing,TH-012-SNUGBOO,2025-07-01,,898,19,182.96,2.1158129175946545,203.74164810690422,9.629473684210527,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-012-SNUGBOO- Alternate Twin,Luxury Spenders,TH-012-SNUGBOO,2025-07-01,,2535,58,696.73,2.287968441814596,274.8441814595661,12.012586206896552,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-012-SNUGBOO- Alternate Twin,Tier 2 Pet Parents,TH-012-SNUGBOO,2025-07-01,,520,12,106.07,2.307692307692308,203.98076923076923,8.839166666666666,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-072-AEROPOD,ICP Pet Parent,TH-072-AEROPOD_ET113_IM253,2025-07-01,,939,5,119.66000000000001,0.5324813631522897,127.43343982960597,23.932000000000002,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-072-AEROPOD,Frequent Travellers,TH-072-AEROPOD_ET113_IM253,2025-07-01,,1803,16,220.16,0.8874098724348309,122.10759844703273,13.76,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-072-AEROPOD,Urban Pet Parents,TH-072-AEROPOD_ET113_IM253,2025-07-01,,1574,6,311.18,0.3811944091486658,197.70012706480304,51.86333333333334,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-073-SMARTSIP – Life Time,Remarketing,TH-073-SMARTSIP_ET104_TM066,2025-07-01,,900,8,132.05,0.8888888888888888,146.72222222222223,16.50625,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-073-SMARTSIP – Life Time,Urban Pet Parents,TH-073-SMARTSIP_ET104_TM066,2025-07-01,,624,12,94.69,1.9230769230769231,151.7467948717949,7.890833333333333,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-073-SMARTSIP – Life Time,Cat Lover,TH-073-SMARTSIP_ET104_TM066,2025-07-01,,1337,24,162.56,1.795063575168287,121.58563949139865,6.773333333333333,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-073-SMARTSIP – Life Time,ICP Pet Parent,TH-073-SMARTSIP_ET104_TM066,2025-07-01,,893,27,160.48,3.0235162374020157,179.70884658454648,5.9437037037037035,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
TH-068-WILD – DUP,ICP Pet Parent,TH-068-WILD_VP001_ET101,2025-07-01,,494,8,162.0,1.6194331983805668,327.93522267206475,20.25,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,0,,,,,
